Index,Category,title,description,link
1,Array,Two Sum,"Given an array of integer nums and an integer target, return indices of the two numbers such that they add up to the target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order.",https://leetcode.com/problems/two-sum/
2,Array,Best Time to Buy and Sell Stock,"You are given an array of prices where prices[i] is the price of a given stock on an ith day. You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock. Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0.",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
3,Array,Contains Duplicate,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.",https://leetcode.com/problems/contains-duplicate/
4,Array,Product of Array Except Self,"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[I]. The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer. You must write an algorithm that runs in O(n) time and without using the division operation.",https://leetcode.com/problems/product-of-array-except-self/
5,Array,Maximum Subarray,"Given an integer array nums, find the subarray with the largest sum, and return its sum.",https://leetcode.com/problems/maximum-subarray/
6,Array,Maximum Product Subarray,"Given an integer array nums, find a subarray that has the largest product, and return the product.",https://leetcode.com/problems/maximum-product-subarray/
7,Array,Find Minimum in Rotated Sorted Array,"Given the sorted rotated array nums of unique elements, return the minimum element of this array. You must write an algorithm that runs in O(log n) time.",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
8,Array,Search in Rotated Sorted Array,"Given the array nums after the possible rotation and an integer target, return the index of the target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity.",https://leetcode.com/problems/search-in-rotated-sorted-array/
9,Array,3Sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i!=j, i!=k and j !=k and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets.",https://leetcode.com/problems/3sum/
10,Array,Container With Most Water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[I]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store.",https://leetcode.com/problems/container-with-most-water/
11,Binary,Sum of Two Integers,"Given two integers a and b, return the sum of the two integers without using the operators + and -.",https://leetcode.com/problems/sum-of-two-integers/
12,Binary,Number of 1 Bits,Write a function that takes the binary representation of an unsigned integer and returns the number of '1' bits it has (also known as the Hamming weight).,https://leetcode.com/problems/number-of-1-bits/
13,Binary,Counting Bits,"Given an integer n, return an array of length n + 1 such that for each i (0 <= i <= n), ans[i] is the number of 1's in the binary representation of i.",https://leetcode.com/problems/counting-bits/
14,Binary,Missing Number,"Given an array nums containing n distinct numbers in the range [0, n], return the only number in the range that is missing from the array.",https://leetcode.com/problems/missing-number/
15,Binary,Reverse Bits,Reverse bits of a given 32-bit unsigned integer.,https://leetcode.com/problems/reverse-bits/
16,Dynamic Programming,Climbing Stairs,You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?,https://leetcode.com/problems/climbing-stairs/
17,Dynamic Programming,Coin Change,"You are given an integer array of coins representing coins of different denominations and an integer amount representing a total amount of money. Return the fewest number of coins that you need to make up that amount. If that amount of money cannot be made up by any combination of the coins, return -1.",https://leetcode.com/problems/coin-change/
18,Dynamic Programming,Longest Increasing Subsequence,"Given an integer array nums, return the length of the longest strictly increasing subsequence.",https://leetcode.com/problems/longest-increasing-subsequence/
19,Dynamic Programming,Longest Common Subsequence,"Given two strings text1 and text2, return the length of their longest common subsequence. If there is no common subsequence, return 0. A subsequence of a string is a new string generated from the original string with some characters (can be none) deleted without changing the relative order of the remaining characters.",https://leetcode.com/problems/longest-common-subsequence/
20,Dynamic Programming,Word Break Problem,"Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words. Note that the same word in the dictionary may be reused multiple times in the segmentation.",https://leetcode.com/problems/word-break/
21,Dynamic Programming,Combination Sum IV,"Given an array of distinct integers nums and a target integer target, return the number of possible combinations that add up to target. Note that different sequences are counted as different combinations.",https://leetcode.com/problems/combination-sum-iv/
22,Dynamic Programming,House Robber,"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed. Given an integer array nums representing the amount of money in each house, return the maximum amount of money you can rob tonight without alerting the police.",https://leetcode.com/problems/house-robber/
23,Dynamic Programming,House Robber II,You are a professional robber planning to rob houses along a street. All houses at this place are arranged in a circle. That means the first house is the neighbor of the last one. Return the maximum amount of money you can rob tonight without alerting the police.,https://leetcode.com/problems/house-robber-ii/
